kol_name,kol_id,kol_avatar_url,platform_uid,platform_unique_id,update_at,Joined TikTok on,Area,Likes,Posts,Fans,followers_rate,Following,Total Views,Engagement Rate
charli dâ€™amelio,1107593,http://p16.muscdn.com/img/musically-maliva-obj/1655662764778502~c5_1080x1080.jpeg,5831967,charlidamelio,2020-05-06,2019-05-30,United States,105.568M,310,43.056M,0.00%,913,677.910M,15.57%
Loren Gray,141,http://p16.muscdn.com/img/musically-maliva-obj/1660343861335046~c5_1080x1080.jpeg,934514,lorengray,2020-05-06,2015-06-28,United States,1.766B,2030,41.766M,0.00%,21,5.470B,32.29%
Zach King,122,http://mphw-suse1.muscdn.com/res/usericon/913/icon-68616495085350913-596.jpg,6.86164950853509E+016,zachking,2020-05-06,2016-02-29,United States,182.374M,138,40.861M,0.00%,18,2.723B,6.70%
TikTok,608,http://p16.muscdn.com/img/musically-maliva-obj/1645136815763462~c5_1080x1080.jpeg,107955,tiktok,2020-05-06,2018-08-01,United States,28.956M,95,38.042M,0.00%,490,291.836M,9.92%
addison rae,406607,http://p16.muscdn.com/img/musically-maliva-obj/1661468384642053~c5_1080x1080.jpeg,6.70355078492979E+018,addisonre,2020-05-06,2019-07-08,United States,12.540M,76,34.768M,0.00%,1.814K,102.007M,12.29%
Riyaz ,595,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1659291656883201.webp,2.38105215445516E+017,riyaz.14,2020-05-06,2018-10-20,India,759.060M,844,33.308M,0.00%,41,7.944B,9.56%
BabyAriel,2935,http://p16.muscdn.com/img/musically-maliva-obj/1661728335585285~c5_1080x1080.jpeg,209793,babyariel,2020-05-06,2015-05-19,United States,1.331B,1850,31.432M,0.00%,184,3.084B,43.15%
Spencer X,977,http://p16.muscdn.com/img/musically-maliva-obj/1661476602838021~c5_1080x1080.jpeg,6.52490479858667E+018,spencerx,2020-05-06,2019-02-10,United States,137.947M,529,26.393M,0.00%,4.316K,1.065B,12.95%
Faisal shaikh,599,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1661407671415809.webp,2.45947105545109E+017,mr_faisu_07,2020-05-06,2018-03-21,India,1.276B,1950,25.733M,0.00%,66,12.122B,10.53%
flighthouse,1232,http://p16.muscdn.com/img/musically-maliva-obj/1637995080300549~c5_1080x1080.jpeg,24645153,flighthouse,2020-05-06,2019-01-23,United States,112.685M,406,24.056M,0.00%,298,818.864M,13.76%
Brent Rivera,1061,http://p16.muscdn.com/img/musically-maliva-obj/1658742339835909~c5_1080x1080.jpeg,7445731,brentrivera,2020-05-06,2015-08-26,United States,272.111M,551,23.938M,0.00%,121,1.483B,18.35%
Arishfa Khan????,50,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1660714844634113.webp,6.6263981839951E+018,_arishfakhan_,2020-05-06,2019-03-02,India,461.218M,1080,23.706M,0.00%,21,4.608B,10.01%
Kristen Hancher,822,http://p16.muscdn.com/img/musically-maliva-obj/1661279539302405~c5_1080x1080.jpeg,6126024,kristenhancher,2020-05-06,2015-08-31,United States,1.082B,1707,23.533M,0.00%,210,2.858B,37.86%
LIVE TV,8279,http://mphw-suse1.muscdn.com/res/usericon/792/icon-196317111244193792-518.jpg,1.96317111244194E+017,livetv,2020-05-06,2017-03-29,United States,2.583M,45,23.365M,0.00%,34,55.109M,4.69%
Awez Darbar,570,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1644667828022273.webp,9.13832496203121E+016,awezdarbar,2020-05-06,2017-01-26,India,563.396M,1929,23.294M,0.00%,195,6.116B,9.21%
Nisha Guragain,51,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1649153100335106.webp,2.4239534426785E+017,nishaguragain,2020-05-06,2018-11-17,India,343.562M,1182,23.072M,0.00%,60,4.204B,8.17%
Jacob Sartorius,1048,http://p16.muscdn.com/img/musically-maliva-obj/1661547689388037~c5_1080x1080.jpeg,8677296,jacobsartorius,2020-05-06,2015-09-07,United States,1.197B,1315,22.922M,0.00%,1.063K,1.856B,64.51%
Dixie Dâ€™Amelio,3319095,http://p16.muscdn.com/img/musically-maliva-obj/1657641185196038~c5_1080x1080.jpeg,6.53985352692584E+018,dixiedamelio,2020-05-06,2019-09-14,United States,667.882K,6,22.840M,5.13%,447,9.147M,7.30%
Will Smith,2979126,http://p16.muscdn.com/img/musically-maliva-obj/1646315618666501~c5_1080x1080.jpeg,6.72732714595118E+018,willsmith,2020-05-06,2019-10-03,United States,26.059M,9,22.573M,13.52%,20,192.553M,13.53%
TikTok_India,283,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1654790925347842.webp,8830005,tiktok_india,2020-05-06,2018-04-08,India,23.333M,137,21.817M,0.00%,170,665.177M,3.51%
Liza Koshy,8209,http://p16.muscdn.com/img/musically-maliva-obj/1654758065426502~c5_1080x1080.jpeg,936655,lizzza,2020-05-06,2015-08-24,United States,85.650M,31,21.209M,3.13%,67,366.763M,23.35%
Lucas and Marcus,139,http://mphw-suse1.muscdn.com/res/usericon/246/icon-8133246-88.jpg,8133246,dobretwins,2020-05-06,2015-09-03,United States,419.863M,1018,20.972M,0.00%,120,1.724B,24.36%
jiffpom,6868,http://p16.muscdn.com/img/musically-maliva-obj/1642707857273862~c5_1080x1080.jpeg,7.91024940054282E+016,jiffpom,2020-05-06,2016-04-11,United States,439.985M,751,20.881M,0.00%,0,1.334B,32.99%
jannat_zubair29,4093,http://p16.muscdn.com/img/musically-maliva-obj/1643290463533062~c5_1080x1080.jpeg,1.19920091445531E+017,jannat_zubair29,2020-05-06,2016-07-25,India,429.659M,694,20.827M,0.00%,6,5.386B,7.98%
Sameeksha ,5461,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1643016126761985.webp,1.86322739753021E+017,sameeksha_sud,2020-05-06,2017-01-19,India,354.812M,1851,20.681M,0.00%,153,3.819B,9.29%
